,protein_id
0,P08780.1
1,P13467.2
2,AAX53144.1
3,AAL61640.1
4,P23114.1
5,P03435.1
6,P23421.1
7,P03451.1
8,Q8V285
9,AAK31640.1
10,P13128.1
11,P01556.1
12,P0A3U4.1
13,P27313.1
14,P14340.2
15,NP_739591.2
16,NP_739588.2
17,P07564.2
18,AAA42941.1
19,NP_775504.1
20,P07720.3
21,AAA22637.1
22,AAR22116.1
23,P05877.1
24,P03375.1
25,AAA47204.1
26,P59594.1
27,P02879.1
28,AAZ31062.1
29,NP_828854.1
30,NP_828864.1
31,NP_828851.1
32,NP_828858.1
33,NP_828852.2
34,NP_828853.1
35,NP_828857.1
36,NP_828859.1
37,NP_828856.1
38,P03462.1
39,P12589.1
40,P18875.1
41,P18272.2
42,P03524.1
43,399133
44,NP_690580.1
45,P0A670.1
46,P06821.1
47,AAA43276.1
48,AAD00138.1
49,O70632.1
50,AAQ77437.1
51,P29991.1
52,P18356.2
53,P12823.1
54,AAO86636.1
55,AAO86638.1
56,P24301.2
57,P09621.3
58,AAG40168.1
59,O33084.3
60,CAA17966.1
61,NP_250468.1
62,AAZ07892.1
63,AAR97663.1
64,P26948.1
65,AAX99418.1
66,Q93M65
67,P06886.1
68,P35938.1
69,P27662.1
70,P31952
71,P15712.1
72,NP_856545.1
73,AAR01152.1
74,NP_740550.1
75,AAR01187.1
76,P59595.1
77,P0A0L2.1
78,P01552.1
79,AAF68253.1
80,AAF68239.1
81,CAC48181.1
82,CAA30882.1
83,Q46221
84,P0A5P6.2
85,P09992.1
86,P16567.1
87,P10845.4
88,AAB01662.1
89,P27312.1
90,YP_177701.1
91,NP_214687.1
92,NP_214684.1
93,NP_214685.1
94,NP_214686.1
95,NP_214688.1
96,P08617.1
97,116743
98,116744
99,AAA88588.1
100,CAA78918.1
101,NP_775667.1
102,CAA45032.1
103,BAA03981.1
104,YP_002644961.1
105,P12590.2
106,ABX25775.1
107,ABW82016.1
108,AAZ31349.1
109,P0A564.2
110,P32595.1
111,P13794.1
112,P04923.2
113,P14013.1
114,CAA32579.1
115,NP_045287.1
116,AAN35543.1
117,AAC47657.1
118,AAP30030.1
119,P30438.2
120,P30440.1
121,NP_001041618.1
122,P14916.2
123,30173397
124,229595253
125,Q9XHP1.1
126,P05067.3
127,AAM29174.1
128,ABP99807.1
129,ACG75893.1
130,P17388.1
131,ABP99903.1
132,P03230.1
133,AAS48456.1
134,AAC28737.1
135,AAA29136.1
136,P80528.1
137,754920A
138,12006915
139,1945473
140,ABD64214.1
141,P29846.3
142,Q81487.3
143,P27958.3
144,P26664.3
145,P26663.3
146,O04885.1
147,Q04558.1
148,CAA63495.1
149,P21730.1
150,P55284.2
151,AAI43274.1
152,Q61885.1
153,Q16653.1
154,AAB53150.1
155,AAB61244.1
156,Q16655.1
157,CAA30889.1
158,P23907.1
159,AAP13441.1
160,P05133.1
161,AAG60020.1
162,CAB42097.1
163,P22047.1
164,Q89462
165,AAC58450.1
166,AAC54066.1
167,AAC54656.1
168,AAA61691.1
169,CAC34856.1
170,BAA86853.1
171,AAM33821.1
172,P11597.2
173,P04156.1
174,CAL29866.1
175,P03148.3
176,AAL31780.1
177,BAF42671.1
178,P13423.2
179,CAD92359.1
180,P35505.1
181,P11224.2
182,P03416.2
183,P03415.1
184,P16342.2
185,P10920.1
186,AAB22442.1
187,P26662.3
188,AAD18054.1
189,Q48434
190,Q14393.2
191,Q99497.2
192,ABW98936.1
193,AAF76481.1
194,AAD50663.1
195,NP_041006.1
196,P59596.1
197,P02749.3
198,O75475.1
199,AAC82640.1
200,P59641.2
201,P59637.1
202,AAS01072.1
203,P04133.3
204,AAA29526.1
205,P03138.3
206,P87020.1
207,P03069.1
208,ABI96968.1
209,CAA61161.1
210,P37708.1
211,AAM55220.1
212,ADF32060.1
213,P23024.1
214,P32022.1
215,P23502.2
216,NP_819008.1
217,AAR85460.1
218,ABA87127.1
219,P10844.3
220,AAY34563.1
221,P03308.1
222,AAA29527.1
223,CAA82537.1
224,YP_163735.1
225,AAN15110.1
226,Q60153.1
227,P19475.1
228,ACH56618.1
229,BAA24144.1
230,P0A3U8.1
231,62185212
232,1617509
233,ZP_06948566.1
234,AAB51520.1
235,P13404.2
236,P17313.1
237,1714374A
238,P08668.1
239,AAR21088.1
240,AAO64210.1
241,AAO64231.1
242,CAB06337.1
243,P19597.2
244,AAA26375.1
245,Q9GV96
246,P19476.2
247,AAL27295.1
248,AAL27292.1
249,AAL27291.1
250,CAA03513.1
251,Q27893.1
252,Q27895.1
253,P81446.3
254,1ONK_A
255,130533
256,P17763.2
257,P68762.2
258,AAK54996.1
259,AAR01186.1
260,AAA26391.1
261,P08089.1
262,P13672.1
263,Q9WMA1
264,AAN52245.1
265,P06441.1
266,P18011.2
267,P07946.2
268,AAB26941.1
269,AAZ07886.1
